"Total Outstanding","Ҳамагӣ қарзӣ"
"Balance will be updated when connection is restored","Бақия ҳангоми барқарор шудани пайвастшавӣ нав мешавад"
"Barcode Structure","Сохтори штрих-код"
"Basic Information","Маълумоти асосӣ"
"Batch Information","Маълумоти партия"
"Batch No Expiry Date","Санаи интиҳои истифодаи партия"
"Batch No. Available QTY","Миқдори дастраси партия"
"Before returns","Пеш аз баргардонидан"
"Bill Ref Number","Рақами санад"
"Birthday","Зодрӯз"
"Birthday (DD-MM-YYYY)","Зодрӯз (РР-ММ-СССС)"
"Build Time:","Вақти сохт:"
"Built with Frappe","Бо Frappe сохта шудааст"
"Bundle","Маҷмӯъ"
"Business Short Code","Рамзи кӯтоҳи тиҷорат"
"Business Shortcode","Рамзи кӯтоҳи тиҷорат"
"Cache Usage","Истифодаи кеш"
"Cache cleared successfully","Кеш бомуваффақият тоза карда шуд"
"Cache the values for n minutes","Кешидани қиматҳо барои n дақиқа"
"Calculating...","Ҳисобкунӣ..."
"Camera Access Required","Дастрасӣ ба камера лозим аст"
"Camera Scan Type","Намуди сканеркунии камера"
"Camera access was aborted. Please try again.","Дастрасӣ ба камера қатъ шуд. Лутфан бори дигар кӯшиш кунед."
"Camera constraints not supported by your device. Trying fallback settings...","Маҳдудиятҳои камера аз ҷониби дастгоҳ дастгирӣ намешаванд. Танзимоти эҳтиётӣ истифода мешаванд..."
"Camera permission denied. Please allow camera access in your browser settings and refresh the page.","Иҷозати камера рад шуд. Лутфан дар танзимоти браузер иҷозат диҳед ва саҳифаро нав кунед."
"Cancel Payment","Бекоркунии пардохт"
"Cancel Sale","Бекоркунии фурӯш"
"Cancel Sale ?","Фурӯш бекор карда шавад?"
"Cannot Save Offline Invoice:","Cannot Save Offline Invoice:"
"Cannot Save Offline Payment:","Cannot Save Offline Payment:"
"Cannot add an item with zero or negative quantity.","Молро бо миқдори сифр ё манфӣ илова кардан мумкин нест."
"Cannot clear cache while offline","Кеш дар ҳолати офлайн тоза карда намешавад"
"Cannot reload items while offline. Please connect to the internet.","Дар ҳолати офлайн молҳоро нав кардан мумкин нест. Лутфан ба интернет пайваст шавед."
"Cash Drawer Snapshot","Ҳолати қуттии пул"
"Cash Mode of Payment","Пардохти нақдӣ"
"Cash back to customers","Бозгашти нақд ба муштариён"
"Cashback?","Кешбек?"
"Change Language","Ивази забон"
"Change Price","Ивази нарх"
"Change Returned","Бақия баргардонида шуд"
"Change interface language","Ивази забони интерфейс"
"Charges not found","Хароҷот ёфт нашуд"
"Check cache and performance","Санҷиши кеш ва маҳсулнокӣ"
"Choose your preferred language for the POS interface","Забони дилхоҳаро барои интерфейси POS интихоб кунед"
"Clear All","Тозакунии ҳама"
"Clear Cache","Тозакунии кеш"
"Clear Search","Тозакунии ҷустуҷӯ"
"Clearing local cache...","Тозакунии кеши маҳаллӣ..."
"Click to refresh","Барои навсозӣ пахш кунед"
"Close Dialog","Бастани муколама"
"Close Scanner","Бастани сканер"
"Close Settings","Бастани танзимот"
"Close Shift","Бастани баст"
"Closing POS Shift","Бастани басти POS"
"Code scanned successfully","Код бомуваффақият сканер шуд"
"Company is required","Ширкат ҳатмист"
"Confirm Close","Тасдиқи бастан"
"Confirm Mobile Number","Тасдиқи рақами мобилӣ"
"Connecting","Пайвастшавӣ"
"Context is required","Контекст ҳатмист"
"Continue Editing","Давоми таҳрир"
"Cost Center is not set in pos profile {}","Маркази хароҷот дар профили POS {} таъин нашудааст"
"Could not determine company currency. Please check Company and POS Profile settings.","Асъори ширкатро муайян кардан нашуд. Санҷед."
"Could not fetch latest balance from server","Бақияро аз сервер гирифта нашуд"
"Coupon","Купон"
"Coupon Based","Дар асоси купон"
"Coupons","Купонҳо"
"Create Only Sales Order","Танҳо фармоиши фурӯш созед"
"Create POS Invoice instead of Sales Invoice","Ҳисобномаи POS ба ҷои ҳисобнома-фактура созед"
"Create POS Opening Shift","Ифтитоҳи басти POS"
"Credit Change","Бақияи қарзӣ"
"Credit Note {0} has no remaining balance to allocate.","Кредит-нотаи {0} бақия барои тақсим надорад."
"Credit Outstanding","Қарзи кредити боқимонда"
"Credit Return?","Бозгашти кредитӣ?"
"Credit Sale?","Фурӯши қарзӣ?"
"Credit note {0} is already fully allocated","Кредит-нотаи {0} аллакай пурра тақсим шудааст"
"Credit note {0} still has an unapplied balance of {1}","Кредит-нотаи {0} то ҳол бақияи тақсимнашудаи {1} дорад"
"Credit sales remaining to be collected","Фурӯшҳои қарзӣ барои ҷамъоварӣ боқӣ мондаанд"
"Currency Configuration Error","Хатои танзимоти асъор"
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}","Асъор нодуруст аст, асъори суратҳисоб {party_account_currency} ва асъори муомила {currency} мебошад"
"Currency is required","Асъор ҳатмист"
"Current User","Корбари ҷорӣ"
"Custom Due Days","Рӯзҳои пардохти фармоишӣ"
"Custom items per page","Миқдори молҳо дар саҳифа"
"Customer Balance","Баланси муштарӣ"
"Customer Name is required","Номи муштарӣ ҳатмист"
"Customer already exists","Муштарӣ аллакай вуҷуд дорад"
"Customer already selected","Муштарӣ аллакай интихоб шудааст"
"Customer balance unavailable offline","Баланси муштарӣ дар ҳолати офлайн дастнорас аст"
"Customer created successfully.","Муштарӣ бомуваффақият сохта шуд."
"Customer creation failed.","Сохтани муштарӣ ноком шуд."
"Customer group is required","Гурӯҳи муштариён ҳатмист"
"Customer saved offline","Муштарӣ дар ҳолати офлайн захира шуд"
"Customer territory is required","Ҳудуди муштарӣ ҳатмист"
"Customer updated successfully.","Муштарӣ бомуваффақият нав карда шуд."
"Customers not found","Муштариён ёфт нашуданд"
"Dark Mode","Ҳолати торик"
"Days until due","Рӯзҳо то пардохт"
"Decimal Precision","Дақиқии даҳӣ"
"Decrease quantity","Кам кардани миқдор"
"Default Card View","Намуди кортӣ"
"Default Loyalty Program","Барномаи вафодории пешфарз"
"Default Rate","Нархи пешфарз"
"Default Rate is required","Нархи пешфарз ҳатмист"
"Default Sales Order","Фармоиши фурӯши пешфарз"
"Default number of days after posting date when returns stay valid for this profile.","Миқдори рӯзҳо пас аз санаи гузарониш, ки баргардонидан эътибор дорад."
"Delete Invoice","Ҳисобномаро нест кунед"
"Delivery Charges","Хароҷоти интиқол"
"Delivery Charges POS Profile","Хароҷоти интиқоли профили POS"
"Delivery Charges Rate","Нархи хароҷоти интиқол"
"Delivery Information","Маълумоти интиқол"
"Detecting formats:","Муайянкунии форматҳо:"
"Difference (In Company Currency)","Фарқият (бо асъори ширкат)"
"Difference:","Фарқият:"
"Disable offline mode","Хомӯш кардани ҳолати офлайн"
"Discount %","Тахфифи %"
"Discount limited by POS Profile","Тахфиф бо профили POS маҳдуд аст"
"Display Additional Notes","Намоиши қайдҳои иловагӣ"
"Display Authorization Code","Намоиши рамзи иҷозат"
"Display Discount %","Намоиши тахфифи %"
"Display Discount Amount","Намоиши маблағи тахфиф"
"Display Item Code","Намоиши рамзи мол"
"Edit discount amount","Таҳрири маблағи тахфиф"
"Edit discount percentage","Таҳрири фоизи тахфиф"
"Edit item name","Таҳрири номи мол"
"Edit quantity","Таҳрири миқдор"
"Edit rate","Таҳрири нарх"
"Edited","Таҳрир шуд"
"Enable Camera Scanning","Фаъолсозии сканер бо камера"
"Enable Return Validity","Фаъолсозии эътибори баргардонидан"
"Enable background sync","Фаъолсозии ҳамоҳангсозӣ дар замина"
"Enable camera-based barcode and QR code scanning for mobile devices","Фаъолсозии сканеркунии штрих-код ва QR-код бо камера"
"Enable return validity date enforcement for POS returns.","Фаъолсозии назорати санаи баргардонидан барои POS."
"Enable return validity enforcement for this POS Profile.","Фаъолсозии назорати баргардонидан барои ин профили POS."
"End current session","Анҷоми ҷаласаи ҷорӣ"
"Error Loading Data","Хатои боркунии маълумот"
"Error accessing camera:","Хатои дастрасӣ ба камера:"
"Error adding offer to items","Хатои иловаи пешниҳод ба молҳо"
"Error calculating prices","Хатои ҳисобкунии нархҳо"
"Error deleting offer from items","Хатои несткунии пешниҳод аз молҳо"
"Error fetching customer balance","Хатои гирифтани баланси муштарӣ"
"Error loading currencies","Хатои боркунии асъор"
"Error processing payment","Хатои коркарди пардохт"
"Error removing price offer","Хатои несткунии пешниҳоди нарх"
"Error searching invoices","Хатои ҷустуҷӯи ҳисобномаҳо"
"Error submitting invoice:","Error submitting invoice:"
"Error submitting invoice: No response from server","Хатои фиристодан: сервер ҷавоб намедиҳад"
"Error submitting invoice: {0}","Хатои фиристодани ҳисобнома: {0}"
"Error updating item details","Хатои навсозии тафсилоти мол"
"Every","Ҳар як"
"Expected Amount (In Company Currency)","Маблағи интизорӣ (бо асъори ширкат)"
"Expected Cash","Пули нақди интизорӣ"
"Expected cash on hand grouped by currency","Пули нақди дар даст буда аз рӯи асъор"
"Failed to apply offers","Татбиқи пешниҳодҳо ноком шуд"
"Failed to auto reconcile payments.","Муқоисаи худкори пардохтҳо ноком шуд."
"Failed to clear cache","Тозакунии кеш ноком шуд"
"Failed to load items. Please try again.","Боркунии молҳо ноком шуд. Лутфан бори дигар кӯшиш кунед."
"Failed to reconcile Credit Note {0}: {1}","Муқоисаи кредит-нотаи {0} ноком шуд: {1}"
"Failed to reconcile Payment Entry {0}: {1}","Муқоисаи сабти пардохти {0} ноком шуд: {1}"
"Failed to reload invoice from server","Навсозии ҳисобнома аз сервер ноком шуд"
"Failed to reload items","Навсозии молҳо ноком шуд"
"Fetch Items Directly from Server","Гирифтани молҳо мустақиман аз сервер"
"Final Customer Offer","Пешниҳоди ниҳоии муштарӣ"
"Fixing payment amounts for return invoice...","Танзими маблағи пардохт барои ҳисобномаи баргардонидашуда..."
"Flash Off","Флеш хомӯш"
"Flash On","Флеш фаъол"
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table."
"For POS Closing Shift Payment Reconciliation","Барои муқоисаи пардохтҳо ҳангоми бастани басти POS"
"Frappe School","Мактаби Frappe"
"Frappe Support","Дастгирии Frappe"
"Free","Ройгон"
"Free Qty","Миқдори ройгон"
"Get Payments","Пардохтҳоро гиред"
"Give Item","Мол диҳед"
"Give Item Row ID","ID-и сатри мол"
"Give Product","Маҳсулот диҳед"
"Given Quantity","Миқдори додашуда"
"Go Offline","Гузаштан ба ҳолати офлайн"
"Go Online","Гузаштан ба ҳолати онлайн"
"Go to Frappe Desk","Гузаштан ба Frappe Desk"
"Gross Sales","Фурӯши умумӣ"
"Group not found","Гурӯҳ ёфт нашуд"
"Grouped totals for each payment method and currency","Ҷамъбасти гурӯҳии усулҳои пардохт ва асъор"
"Hide Close Shift","Пинҳон кардани бастани баст"
"Hide Expected Amount","Пинҳон кардани маблағи интизорӣ"
"Hide Non Essential Fields","Пинҳон кардани майдонҳои ғайризарурӣ"
"Hide Variants Items","Пинҳон кардани вариантҳои мол"
"Hide quantity decimals","Пинҳон кардани даҳиҳои миқдор"
"Hide zero rated items","Пинҳон кардани молҳои дорои меъёри сифрӣ"
"In stock: {0}","Дар анбор: {0}"
"Increase quantity","Зиёд кардани миқдор"
"IndexedDB","IndexedDB"
"Initialize your shift with opening balances","Басти худро бо бақияи аввала оғоз кунед"
"Initializing application...","Оғози барнома..."
"Invalid POS Opening Shift data provided.","Маълумоти нодурусти ифтитоҳи басти POS ворид шуд."
"Invalid closing amount","Маблағи нодурусти бастани баст"
"Invoice Amount","Маблағи ҳисобнома"
"Invoice Change","Бақияи ҳисобнома"
"Invoice Currency","Асъори ҳисобнома"
"Invoice ID","ID-и ҳисобнома"
"Invoice Submission Failed","Фиристодани ҳисобнома ноком шуд"
"Invoice is still in draft after background submission.","Ҳисобнома пас аз фиристодан дар замина то ҳол дар ҳолати сиёҳнавис аст."
"Invoice saved offline","Ҳисобнома дар ҳолати офлайн захира шуд"
"Invoice submission failed","Фиристодани ҳисобнома ноком шуд"
"Invoice {0} Deleted","Ҳисобномаи {0} нест карда шуд"
"Invoice {0} does not exist","Ҳисобномаи {0} вуҷуд надорад"
"Invoice {0} is Submitted","Ҳисобномаи {0} фиристода шуд"
"Invoice {0} submission failed","Фиристодани ҳисобномаи {0} ноком шуд"
"Invoices saved as POS Invoices","Ҳисобномаҳо ҳамчун ҳисобномаҳои POS захира шудаанд"
"Is Offer","Пешниҳод аст"
"Is Offer Replace For item Row ID","Пешниҳоди ҷойгузин барои ID-и сатри мол"
"Item Code and Price List are required","Рамзи мол ва рӯйхати нархҳо ҳатмист"
"Item Price has been added or updated","Нархи мол илова ё нав шуд"
"Item Rate Should Less Then","Нархи мол бояд камтар бошад аз"
"Item Selector Settings","Танзимоти интихоби мол"
"Item code digits","Рақамҳои рамзи мол"
"Item code starting position","Мавқеи оғози рамзи мол"
"Item is out of stock","Мол дар анбор нест"
"Item not found","Мол ёфт нашуд"
"Item order updated","Тартиби молҳо нав шуд"
"Item price updated","Нархи мол нав шуд"
"Item {0} added to invoice","Моли {0} ба ҳисобнома илова шуд"
"Items Discounts","Тахфифҳои мол"
"Items Group","Гурӯҳи молҳо"
"Items added to invoice","Молҳо ба ҳисобнома илова шуданд"
"Items per page","Миқдори молҳо дар саҳифа"
"Items reloaded from server","Молҳо аз сервер нав карда шуданд"
"Language for POS Awesome interface","Забон барои интерфейси POS Awesome"
"Language will be changed to","Забон иваз мешавад ба"
"Last sync:","Ҳамоҳангсозии охирин:"
"Later","Баъдтар"
"Light Mode","Ҳолати рӯшан"
"Limited","Маҳдуд"
"Load Drafts","Боркунии сиёҳнависҳо"
"Load More Invoices","Боркунии ҳисобномаҳои бештар"
"Load Sales Invoice","Боркунии ҳисобнома-фактура"
"Load previously saved invoices","Боркунии ҳисобномаҳои қаблан захирашуда"
"Loading app data...","Боркунии маълумоти барнома..."
"Loading customer data...","Боркунии маълумоти муштарӣ..."
"Loading customer database...","Боркунии пойгоҳи додаҳои муштариён..."
"Loading details...","Боркунии тафсилот..."
"Loading product catalog...","Боркунии каталоги маҳсулот..."
"Log out","Баромадан"
"Loyalty Point","Холи вафодорӣ"
"Loyalty Point Offer Applied","Пешниҳоди холҳои вафодорӣ татбиқ шуд"
"Loyalty Point Scheme","Нақшаи холҳои вафодорӣ"
"MSISDN","MSISDN"
"Manage and synchronize your offline transactions","Муомилоти офлайнии худро идора ва ҳамоҳанг кунед"
"Max Discount Percentage Allowed","Max Discount Percentage Allowed"
"Max Quantity","Миқдори ҳадди аксар"
"Maximum Amount","Маблағи ҳадди аксар"
"Maximum available quantity is {0}. Quantity adjusted to match stock.","Миқдори ҳадди аксар {0} аст. Миқдор мувофиқи анбор танзим шуд."
"Min Quantity","Миқдори ҳадди ақал"
"Minimum Amount","Маблағи ҳадди ақал"
"Mobile NO","Рақами мобилӣ"
"Mode","Ҳолат"
"Mode of Payment is required","Усули пардохт ҳатмист"
"Mpesa C2B Register URL","URL-и бақайдгирии Mpesa C2B"
"Mpesa Payment Register","Феҳристи пардохти Mpesa"
"Multiple Items Found","Якчанд мол ёфт шуд"
"Negative values not allowed","Қиматҳои манфӣ иҷозат дода намешаванд"
"Net Sales","Фурӯши соф"
"Never","Ҳеҷ гоҳ"
"New Offer Available","Пешниҳоди нав дастрас аст"
"New Price List Rate","Нархи нави рӯйхати нархҳо"
"New version ready","Нусхаи нав омода аст"
"Next unit of measure","Воҳиди ченкунии навбатӣ"
"No Print Formats Found","Ягон формати чоп ёфт нашуд"
"No allocation made for credit note {0}","Барои кредит-нотаи {0} тақсимот анҷом дода нашудааст"
"No allocation made for payment {0}","Барои пардохти {0} тақсимот анҷом дода нашудааст"
"No allocation was recorded for Credit Note {0}.","Барои кредит-нотаи {0} ягон тақсимот сабт нашудааст."
"No allocation was recorded for Payment Entry {0}.","Барои сабти пардохти {0} ягон тақсимот сабт нашудааст."
"No allocations were made.","Ягон тақсимот анҷом дода нашудааст."
"No batches available in {0} for {1}.","Дар {0} барои {1} ягон партия дастрас нест."
"No camera found on this device. Please ensure your device has a working camera.","Дар ин дастгоҳ ягон камера ёфт нашуд."
"No cash expected for this shift.","Дар ин баст пули нақд интизор нест."
"No cash mode configured","Усули нақдӣ танзим нашудааст"
"No change returned recorded for this shift.","Дар ин баст бақияи баргардонидашуда сабт нашудааст."
"No invoices found","Ҳисобномаҳо ёфт нашуданд"
"No invoices found. Try different search criteria.","Ҳисобномаҳо ёфт нашуданд. Дигар меъёрҳоро санҷед."
"No invoices recorded for this shift.","Дар ин баст ягон ҳисобнома сабт нашудааст."
"No items found","Молҳо ёфт нашуданд"
"No items in cart","Дар сабад ягон мол нест"
"No notifications yet","То ҳол ягон огоҳинома нест"
"No offline invoices pending synchronization","Ягон ҳисобномаи офлайн барои ҳамоҳангсозӣ нест"
"No outstanding credit invoices for this shift.","Дар ин баст ягон ҳисобномаи қарзии мӯҳлаташ гузашта нест."
"No outstanding invoices available for allocation of credit note {0}","Барои тақсими кредит-нотаи {0} ҳисобномаҳои қарзӣ дастрас нестанд"
"No outstanding invoices available for allocation of payment {0}","Барои тақсими пардохти {0} ҳисобномаҳои қарзӣ дастрас нестанд"
"No outstanding invoices were available to reconcile Credit Note {0}.","Барои муқоисаи кредит-нотаи {0} ҳисобномаҳои қарзӣ мавҷуд набуданд."
"No outstanding invoices were available to reconcile Payment Entry {0}.","Барои муқоисаи сабти пардохти {0} ҳисобномаҳои қарзӣ мавҷуд набуданд."
"No outstanding invoices were found for {0}.","Барои {0} ягон ҳисобномаи қарзӣ ёфт нашуд."
"No payments registered for this shift.","Дар ин баст ягон пардохт сабт нашудааст."
"No pending offline invoices","Ягон ҳисобномаи офлайнии интизорӣ нест"
"No response from server","Сервер ҷавоб намедиҳад"
"No returns were processed in this shift.","Дар ин баст ягон баргардонидан коркард нашудааст."
"No unallocated payments are available for reconciliation.","Пардохтҳои тақсимнашуда барои муқоиса дастрас нестанд."
"No unallocated payments were available for reconciliation.","Пардохтҳои тақсимнашуда барои муқоиса мавҷуд набуданд."
"No valid batches available in {0} for {1}.","Дар {0} барои {1} ягон партияи эътиборнок дастрас нест."
"No.","№"
"Nobile Number","Рақами мобилӣ"
"Number of characters to skip when a prefix is present.","Миқдори аломатҳо барои гузаштан ҳангоми мавҷуд будани префикс."
"Number of decimal places encoded for the price.","Миқдори рақамҳои даҳии барои нарх рамзгузоришуда."
"Number of decimal places encoded for the weight.","Миқдори рақамҳои даҳии барои вазн рамзгузоришуда."
"Number of digits representing the price before decimal places.","Миқдори рақамҳои нарх то нуқтаи даҳӣ."
"Number of digits representing the weight before decimal places.","Миқдори рақамҳои вазн то нуқтаи даҳӣ."
"OK","ОК"
"Offer","Пешниҳод"
"Offer Applied","Пешниҳод татбиқ шуд"
"Offer Name","Номи пешниҳод"
"Offer item unavailable","Моли пешниҳодӣ дастнорас аст"
"Offer?","Пешниҳод?"
"Offers","Пешниҳодҳо"
"Offers applied and invoice refreshed","Пешниҳодҳо татбиқ шуданд ва ҳисобнома нав шуд"
"Offline Invoices","Ҳисобномаҳои офлайн"
"Offline invoices status","Ҳолати ҳисобномаҳои офлайн"
"Offline invoices synced","Ҳисобномаҳои офлайн ҳамоҳанг шуданд"
"Only One Use Per Customer","Танҳо як маротиба барои як муштарӣ"
"Open invoices","Ҳисобномаҳои кушода"
"OpenCV Off","OpenCV хомӯш"
"OpenCV On","OpenCV фаъол"
"OpenCV image processing enabled - Enhanced barcode detection","Коркарди тасвири OpenCV фаъол - муайянкунии беҳтари штрих-код"
"OpenCV processing disabled","Коркарди OpenCV хомӯш карда шуд"
"Optional default number of days after posting date when returns remain valid.","Рӯзҳои иловагӣ барои эътибори баргардонидан."
"Optional prefix value that all scale barcodes start with.","Қимати префикси иловагӣ барои ҳамаи штрих-кодҳои тарозу."
"Order ID","ID-и фармоиш"
"Org Account Balance","Баланси суратҳисоби орг."
"Outstanding Credit by Currency","Қарзи кредитии боқимонда аз рӯи асъор"
"Overpayment Change","Бақияи зиёдатӣ"
"Overpayment change deducted: {0}","Бақияи зиёдатӣ тарҳ шуд: {0}"
"PAY","ПАРДОХТ"
"POS Awesome","POS Awesome"
"POS Awesome Advance Settings","Танзимоти пешрафтаи POS Awesome"
"POS Awesome Payments","Пардохтҳои POS Awesome"
"POS Awesome Payments is not enabled for this POS Profile","Пардохтҳои POS Awesome барои ин профил фаъол нестанд"
"POS Awesome Print Format Rule","Қоидаи формати чопи POS Awesome"
"POS Awesome Settings","Танзимоти POS Awesome"
"POS Awesome credit redemption for Sales Invoice {0}","Погаш кардани кредити POS Awesome барои ҳисобномаи {0}"
"POS Closing Shift","Бастани басти POS"
"POS Closing Shift Detail","Тафсилоти бастани басти POS"
"POS Closing Shift Taxes","Андозҳои бастани басти POS"
"POS Closing Shift {} against {} between selected period","Бастани басти POS {} нисбат ба {} дар давраи интихобшуда"
"POS Coupon","Купони POS"
"POS Coupon Detail","Тафсилоти купони POS"
"POS Coupons Detail","Тафсилоти купонҳои POS"
"POS Language","Забони POS"
"POS Offer","Пешниҳоди POS"
"POS Offer Detail","Тафсилоти пешниҳоди POS"
"POS Offer is disable.","Пешниҳоди POS ғайрифаъол аст."
"POS Offers","Пешниҳодҳои POS"
"POS Offers Detail","Тафсилоти пешниҳодҳои POS"
"POS Opening Shift","Ифтитоҳи басти POS"
"POS Opening Shift Detail","Тафсилоти ифтитоҳи басти POS"
"POS Opening Shift is required","Ифтитоҳи басти POS ҳатмист"
"POS Opening Shift is required to compute the overview.","Ифтитоҳи басти POS барои ҳисоб кардани шарҳ лозим аст."
"POS Opening Shift {0} is not for the same POS Profile","Ифтитоҳи басти {0} барои ин профили POS нест"
"POS Opening Shift {0} is not for the same company","Ифтитоҳи басти {0} барои ин ширкат нест"
"POS Payment Entry Reference","Истинод ба сабти пардохти POS"
"POS Payments","Пардохтҳои POS"
"POS Profile is required","Профили POS ҳатмист"
"POS Profiles","Профилҳои POS"
"POS Shift","Басти POS"
"POS Shift {0} is not open","Басти {0} кушода нест"
"POS lock is not available yet","Қулфи POS ҳоло дастнорас аст"
"POS profile data is missing or invalid.","Маълумоти профили POS мавҷуд нест ё нодуруст аст."
"POSA Sales Person Filter","Филтри фурӯшандагони POSA"
"POSAwesome","POSAwesome"
"Paid Change","Бақияи пардохтшуда"
"Payment Entry is already created or payment account is not matched","Сабти пардохт аллакай сохта шудааст ё суратҳисоби пардохт мувофиқ нест"
"Payment Entry {0} has no unallocated amount remaining.","Сабти пардохти {0} маблағи тақсимнашуда надорад."
"Payment Gateway Account not found","Суратҳисоби шлюзи пардохт ёфт нашуд"
"Payment Request took too long to respond. Please try requesting for payment again","Дархости пардохт хеле тӯл кашид. Лутфан бори дигар кӯшиш кунед"
"Payment name not found. Cannot open print view.","Номи пардохт ёфт нашуд. Намуди чопро кушода намешавад."
"Payment of {0} received successfully.","Пардохти {0} бомуваффақият гирифта шуд."
"Payment request status could not be retrieved. Please try again","Ҳолати дархости пардохтро гирифта нашуд. Лутфан бори дигар кӯшиш кунед"
"Payment saved offline","Пардохт дар ҳолати офлайн захира шуд"
