"Total Outstanding","Общая задолженность"
"Close Shift","Закрыть смену"
"Closing POS Shift","Закрытие смены POS"
"Code scanned successfully","Код успешно отсканирован"
"Company is required","Компания обязательна"
"Confirm Close","Подтвердите закрытие"
"Confirm Mobile Number","Подтвердите номер мобильного"
"Connecting","Подключение"
"Context is required","Контекст обязателен"
"Continue Editing","Продолжить редактирование"
"Cost Center is not set in pos profile {}","Центр затрат не установлен в профиле POS {}"
"Could not determine company currency. Please check Company and POS Profile settings.","Не удалось определить валюту компании. Пожалуйста, проверьте настройки компании и профиля POS."
"Could not fetch latest balance from server","Не удалось получить актуальный баланс с сервера"
"Coupon","Купон"
"Coupon Based","На основе купона"
"Coupons","Купоны"
"Create Only Sales Order","Создавать только заказ клиента"
"Create POS Invoice instead of Sales Invoice","Создавать POS-счет вместо счета-фактуры"
"Create POS Opening Shift","Создать открытие смены POS"
"Credit Change","Кредитная сдача"
"Credit Note {0} has no remaining balance to allocate.","Кредит-нота {0} не имеет остатка для распределения."
"Credit Outstanding","Кредитная задолженность"
"Credit Return?","Возврат в кредит?"
"Credit Sale?","Продажа в кредит?"
"Credit note {0} is already fully allocated","Кредит-нота {0} уже полностью распределена"
"Credit note {0} still has an unapplied balance of {1}","Кредит-нота {0} все еще имеет нераспределенный остаток {1}"
"Credit sales remaining to be collected","Оставшиеся кредитные продажи к получению"
"Currency Configuration Error","Ошибка конфигурации валюты"
"Currency is not correct, party account currency is {party_account_currency} and transaction currency is {currency}","Валюта неверна, валюта счета контрагента - {party_account_currency}, а валюта транзакции - {currency}"
"Currency is required","Валюта обязательна"
"Current User","Текущий пользователь"
"Custom Due Days","Пользовательские дни оплаты"
"Custom items per page","Пользовательское кол-во товаров на странице"
"Customer Balance","Баланс клиента"
"Customer Name is required","Имя клиента обязательно"
"Customer already exists","Клиент уже существует"
"Customer already selected","Клиент уже выбран"
"Customer balance unavailable offline","Баланс клиента недоступен в автономном режиме"
"Customer created successfully.","Клиент успешно создан."
"Customer creation failed.","Ошибка создания клиента."
"Customer group is required","Группа клиентов обязательна"
"Customer saved offline","Клиент сохранен в автономном режиме"
"Customer territory is required","Территория клиента обязательна"
"Customer updated successfully.","Клиент успешно обновлен."
"Customers not found","Клиенты не найдены"
"Dark Mode","Темная тема"
"Days until due","Дней до оплаты"
"Decimal Precision","Десятичная точность"
"Decrease quantity","Уменьшить количество"
"Default Card View","Вид карточек по умолчанию"
"Default Loyalty Program","Программа лояльности по умолчанию"
"Default Rate","Цена по умолчанию"
"Default Rate is required","Цена по умолчанию обязательна"
"Default Sales Order","Заказ клиента по умолчанию"
"Default number of days after posting date when returns stay valid for this profile.","Количество дней после даты проводки, в течение которых возвраты остаются действительными для этого профиля."
"Delete Invoice","Удалить счет"
"Delivery Charges","Стоимость доставки"
"Delivery Charges POS Profile","Стоимость доставки в профиле POS"
"Delivery Charges Rate","Ставка стоимости доставки"
"Delivery Information","Информация о доставке"
"Detecting formats:","Определение форматов:"
"Difference (In Company Currency)","Разница (в валюте компании)"
"Difference:","Разница:"
"Disable offline mode","Отключить автономный режим"
"Discount %","Скидка %"
"Discount limited by POS Profile","Скидка ограничена профилем POS"
"Display Additional Notes","Отображать дополнительные примечания"
"Display Authorization Code","Отображать код авторизации"
"Display Discount %","Отображать скидку %"
"Display Discount Amount","Отображать сумму скидки"
"Display Item Code","Отображать код товара"
"Edit discount amount","Редактировать сумму скидки"
"Edit discount percentage","Редактировать процент скидки"
"Edit item name","Редактировать название товара"
"Edit quantity","Редактировать количество"
"Edit rate","Редактировать цену"
"Edited","Отредактировано"
"Enable Camera Scanning","Включить сканирование камерой"
"Enable Return Validity","Включить срок действия возврата"
"Enable background sync","Включить фоновую синхронизацию"
"Enable camera-based barcode and QR code scanning for mobile devices","Включить сканирование штрих-кодов и QR-кодов на основе камеры для мобильных устройств"
"Enable return validity date enforcement for POS returns.","Включить контроль срока действия возврата для POS-возвратов."
"Enable return validity enforcement for this POS Profile.","Включить контроль срока действия возврата для этого профиля POS."
"End current session","Завершить текущий сеанс"
"Error Loading Data","Ошибка загрузки данных"
"Error accessing camera:","Ошибка доступа к камере:"
"Error adding offer to items","Ошибка добавления предложения к товарам"
"Error calculating prices","Ошибка расчета цен"
"Error deleting offer from items","Ошибка удаления предложения из товаров"
"Error fetching customer balance","Ошибка получения баланса клиента"
"Error loading currencies","Ошибка загрузки валют"
"Error processing payment","Ошибка обработки платежа"
"Error removing price offer","Ошибка удаления ценового предложения"
"Error searching invoices","Ошибка поиска счетов"
"Error submitting invoice:","Error submitting invoice:"
"Error submitting invoice: No response from server","Ошибка отправки счета: нет ответа от сервера"
"Error submitting invoice: {0}","Ошибка отправки счета: {0}"
"Error updating item details","Ошибка обновления данных товара"
"Every","Каждый"
"Expected Amount (In Company Currency)","Ожидаемая сумма (в валюте компании)"
"Expected Cash","Ожидаемая наличность"
"Expected cash on hand grouped by currency","Ожидаемая наличность на руках, сгруппированная по валютам"
"Failed to apply offers","Не удалось применить предложения"
"Failed to auto reconcile payments.","Не удалось автоматически сверить платежи."
"Failed to clear cache","Не удалось очистить кэш"
"Failed to load items. Please try again.","Не удалось загрузить товары. Пожалуйста, попробуйте еще раз."
"Failed to reconcile Credit Note {0}: {1}","Не удалось сверить кредит-ноту {0}: {1}"
"Failed to reconcile Payment Entry {0}: {1}","Не удалось сверить платеж {0}: {1}"
"Failed to reload invoice from server","Не удалось перезагрузить счет с сервера"
"Failed to reload items","Не удалось перезагрузить товары"
"Fetch Items Directly from Server","Загружать товары напрямую с сервера"
"Final Customer Offer","Конечное предложение клиента"
"Fixing payment amounts for return invoice...","Исправление сумм платежей для счета на возврат..."
"Flash Off","Вспышка выкл"
"Flash On","Вспышка вкл"
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Для товаров типа 'Комплект', склад, серийный номер и номер партии будут взяты из таблицы 'Упаковочный лист'. Если склад и номер партии одинаковы для всех упаковочных позиций любого комплета, эти значения можно ввести в основную таблицу товаров; значения будут скопированы в таблицу 'Упаковочный лист'."
"For POS Closing Shift Payment Reconciliation","Для сверки платежей при закрытии смены POS"
"Frappe School","Школа Frappe"
"Frappe Support","Поддержка Frappe"
"Free","Бесплатно"
"Free Qty","Бесплатное кол-во"
"Get Payments","Получить платежи"
"Give Item","Отдать товар"
"Give Item Row ID","ID строки отдаваемого товара"
"Give Product","Отдать продукт"
"Given Quantity","Выданное количество"
"Go Offline","Перейти в офлайн"
"Go Online","Перейти в онлайн"
"Go to Frappe Desk","Перейти в Frappe Desk"
"Gross Sales","Валовые продажи"
"Group not found","Группа не найдена"
"Grouped totals for each payment method and currency","Сгруппированные итоги для каждого способа оплаты и валюты"
"Hide Close Shift","Скрыть закрытие смены"
"Hide Expected Amount","Скрыть ожидаемую сумму"
"Hide Non Essential Fields","Скрыть несущественные поля"
"Hide Variants Items","Скрыть варианты товаров"
"Hide quantity decimals","Скрыть десятичные знаки количества"
"Hide zero rated items","Скрыть товары с нулевой ставкой"
"In stock: {0}","В наличии: {0}"
"Increase quantity","Увеличить количество"
"IndexedDB","IndexedDB"
"Initialize your shift with opening balances","Инициализируйте свою смену с начальными остатками"
"Initializing application...","Инициализация приложения..."
"Invalid POS Opening Shift data provided.","Предоставлены неверные данные открытия смены POS."
"Invalid closing amount","Некорректная сумма закрытия"
"Invoice Amount","Сумма счета"
"Invoice Change","Изменение счета"
"Invoice Currency","Валюта счета"
"Invoice ID","ID счета"
"Invoice Submission Failed","Сбой отправки счета"
"Invoice is still in draft after background submission.","Счет все еще в черновиках после фоновой отправки."
"Invoice saved offline","Счет сохранен в автономном режиме"
"Invoice submission failed","Ошибка отправки счета"
"Invoice {0} Deleted","Счет {0} удален"
"Invoice {0} does not exist","Счет {0} не существует"
"Invoice {0} is Submitted","Счет {0} отправлен"
"Invoice {0} submission failed","Сбой отправки счета {0}"
"Invoices saved as POS Invoices","Счета сохранены как POS-счета"
"Is Offer","Это предложение"
"Is Offer Replace For item Row ID","Это предложение заменяет для ID строки товара"
"Item Code and Price List are required","Код товара и прайс-лист обязательны"
"Item Price has been added or updated","Цена товара была добавлена или обновлена"
"Item Rate Should Less Then","Цена товара должна быть меньше"
"Item Selector Settings","Настройки выбора товаров"
"Item code digits","Цифры кода товара"
"Item code starting position","Начальная позиция кода товара"
"Item is out of stock","Товара нет в наличии"
"Item not found","Товар не найден"
"Item order updated","Порядок товаров обновлен"
"Item price updated","Цена товара обновлена"
"Item {0} added to invoice","Товар {0} добавлен в счет"
"Items Discounts","Скидки на товары"
"Items Group","Группа товаров"
"Items added to invoice","Товары добавлены в счет"
"Items per page","Товаров на странице"
"Items reloaded from server","Товары перезагружены с сервера"
"Language for POS Awesome interface","Язык интерфейса POS Awesome"
"Language will be changed to","Язык будет изменен на"
"Last sync:","Последняя синхронизация:"
"Later","Позже"
"Light Mode","Светлая тема"
"Limited","Ограничено"
"Load Drafts","Загрузить черновики"
"Load More Invoices","Загрузить больше счетов"
"Load Sales Invoice","Загрузить счет-фактуру"
"Load previously saved invoices","Загрузить ранее сохраненные счета"
"Loading app data...","Загрузка данных приложения..."
"Loading customer data...","Загрузка данных клиентов..."
"Loading customer database...","Загрузка базы данных клиентов..."
"Loading details...","Загрузка деталей..."
"Loading product catalog...","Загрузка каталога товаров..."
"Log out","Выйти"
"Loyalty Point","Бонусный балл"
"Loyalty Point Offer Applied","Применено предложение за бонусные баллы"
"Loyalty Point Scheme","Схема бонусных баллов"
"MSISDN","MSISDN (Номер телефона)"
"Manage and synchronize your offline transactions","Управляйте и синхронизируйте ваши офлайн-транзакции"
"Max Discount Percentage Allowed","Max Discount Percentage Allowed"
"Max Quantity","Макс. количество"
"Maximum Amount","Максимальная сумма"
"Maximum available quantity is {0}. Quantity adjusted to match stock.","Максимально доступное количество - {0}. Количество скорректировано в соответствии с остатком."
"Min Quantity","Мин. количество"
"Minimum Amount","Минимальная сумма"
"Mobile NO","Моб. номер"
"Mode","Режим"
"Mode of Payment is required","Способ оплаты обязателен"
"Mpesa C2B Register URL","URL регистрации Mpesa C2B"
"Mpesa Payment Register","Регистрация платежей Mpesa"
"Multiple Items Found","Найдено несколько товаров"
"Negative values not allowed","Отрицательные значения не допускаются"
"Net Sales","Чистые продажи"
"Never","Никогда"
"New Offer Available","Доступно новое предложение"
"New Price List Rate","Новая цена по прайс-листу"
"New version ready","Новая версия готова"
"Next unit of measure","Следующая единица измерения"
"No Print Formats Found","Печатные формы не найдены"
"No allocation made for credit note {0}","Распределение для кредит-ноты {0} не выполнено"
"No allocation made for payment {0}","Распределение для платежа {0} не выполнено"
"No allocation was recorded for Credit Note {0}.","Распределение не было зафиксировано для кредит-ноты {0}."
"No allocation was recorded for Payment Entry {0}.","Распределение не было зафиксировано для платежа {0}."
"No allocations were made.","Распределения не были выполнены."
"No batches available in {0} for {1}.","Нет доступных партий в {0} для {1}."
"No camera found on this device. Please ensure your device has a working camera.","Камера не найдена на этом устройстве. Пожалуйста, убедитесь, что у вас есть работающая камера."
"No cash expected for this shift.","Наличность не ожидается в этой смене."
"No cash mode configured","Наличный расчет не настроен"
"No change returned recorded for this shift.","Возврат сдачи не зафиксирован в этой смене."
"No invoices found","Счета не найдены"
"No invoices found. Try different search criteria.","Счета не найдены. Попробуйте другие критерии поиска."
"No invoices recorded for this shift.","Счета не зафиксированы в этой смене."
"No items found","Товары не найдены"
"No items in cart","Корзина пуста"
"No notifications yet","Уведомлений пока нет"
"No offline invoices pending synchronization","Нет офлайн-счетов, ожидающих синхронизации"
"No outstanding credit invoices for this shift.","Нет неоплаченных кредитных счетов в этой смене."
"No outstanding invoices available for allocation of credit note {0}","Нет неоплаченных счетов, доступных для распределения кредит-ноты {0}"
"No outstanding invoices available for allocation of payment {0}","Нет неоплаченных счетов, доступных для распределения платежа {0}"
"No outstanding invoices were available to reconcile Credit Note {0}.","Не было неоплаченных счетов, доступных для сверки кредит-ноты {0}."
"No outstanding invoices were available to reconcile Payment Entry {0}.","Не было неоплаченных счетов, доступных для сверки платежа {0}."
"No outstanding invoices were found for {0}.","Не найдено неоплаченных счетов для {0}."
"No payments registered for this shift.","Платежи не зарегистрированы в этой смене."
"No pending offline invoices","Нет ожидающих офлайн-счетов"
"No response from server","Нет ответа от сервера"
"No returns were processed in this shift.","Возвраты не обрабатывались в этой смене."
"No unallocated payments are available for reconciliation.","Нет нераспределенных платежей, доступных для сверки."
"No unallocated payments were available for reconciliation.","Не было нераспределенных платежей, доступных для сверки."
"No valid batches available in {0} for {1}.","Нет действительных партий в {0} для {1}."
"No.","№"
"Nobile Number","Номер мобильного"
"Number of characters to skip when a prefix is present.","Количество символов, которые нужно пропустить при наличии префикса."
"Number of decimal places encoded for the price.","Количество десятичных знаков, закодированных для цены."
"Number of decimal places encoded for the weight.","Количество десятичных знаков, закодированных для веса."
"Number of digits representing the price before decimal places.","Количество цифр, представляющих цену до десятичных знаков."
"Number of digits representing the weight before decimal places.","Количество цифр, представляющих вес до десятичных знаков."
"OK","ОК"
"Offer","Предложение"
"Offer Applied","Предложение применено"
"Offer Name","Название предложения"
"Offer item unavailable","Товар по предложению недоступен"
"Offer?","Предложение?"
"Offers","Предложения"
"Offers applied and invoice refreshed","Предложения применены, счет обновлен"
"Offline Invoices","Офлайн-счета"
"Offline invoices status","Статус офлайн-счетов"
"Offline invoices synced","Офлайн-счета синхронизированы"
"Only One Use Per Customer","Только одно использование на клиента"
"Open invoices","Открытые счета"
"OpenCV Off","OpenCV выкл"
"OpenCV On","OpenCV вкл"
"OpenCV image processing enabled - Enhanced barcode detection","Обработка изображений OpenCV включена - Улучшенное распознавание штрих-кодов"
"OpenCV processing disabled","Обработка OpenCV отключена"
"Optional default number of days after posting date when returns remain valid.","Необязательное количество дней по умолчанию после даты проводки, в течение которых возвраты остаются действительными."
"Optional prefix value that all scale barcodes start with.","Необязательный префикс, с которого начинаются все весовые штрих-коды."
"Order ID","ID заказа"
"Org Account Balance","Орг. баланс счета"
"Outstanding Credit by Currency","Неоплаченный кредит по валютам"
"Overpayment Change","Сдача при переплате"
"Overpayment change deducted: {0}","Сдача при переплате удержана: {0}"
"PAY","ОПЛАТИТЬ"
"POS Awesome","POS Awesome"
"POS Awesome Advance Settings","Расширенные настройки POS Awesome"
"POS Awesome Payments","Платежи POS Awesome"
"POS Awesome Payments is not enabled for this POS Profile","Платежи POS Awesome не включены для этого профиля POS"
"POS Awesome Print Format Rule","Правило формата печати POS Awesome"
"POS Awesome Settings","Настройки POS Awesome"
"POS Awesome credit redemption for Sales Invoice {0}","Погашение кредита POS Awesome для счета-фактуры {0}"
"POS Closing Shift","Закрытие смены POS"
"POS Closing Shift Detail","Детали закрытия смены POS"
"POS Closing Shift Taxes","Налоги при закрытии смены POS"
"POS Closing Shift {} against {} between selected period","Закрытие смены POS {} против {} за выбранный период"
"POS Coupon","POS Купон"
"POS Coupon Detail","Детали POS купона"
"POS Coupons Detail","Детали POS купонов"
"POS Language","Язык POS"
"POS Offer","POS Предложение"
"POS Offer Detail","Детали POS предложения"
"POS Offer is disable.","POS предложение отключено."
"POS Offers","POS Предложения"
"POS Offers Detail","Детали POS предложений"
"POS Opening Shift","Открытие смены POS"
"POS Opening Shift Detail","Детали открытия смены POS"
"POS Opening Shift is required","Открытие смены POS обязательно"
"POS Opening Shift is required to compute the overview.","Открытие смены POS необходимо для расчета обзора."
"POS Opening Shift {0} is not for the same POS Profile","Открытие смены POS {0} не для того же профиля POS"
"POS Opening Shift {0} is not for the same company","Открытие смены POS {0} не для той же компании"
"POS Payment Entry Reference","Ссылка на платеж POS"
"POS Payments","POS Платежи"
"POS Profile is required","Профиль POS обязателен"
"POS Profiles","Профили POS"
"POS Shift","Смена POS"
"POS Shift {0} is not open","Смена POS {0} не открыта"
"POS lock is not available yet","Блокировка POS еще не доступна"
"POS profile data is missing or invalid.","Данные профиля POS отсутствуют или неверны."
"POSA Sales Person Filter","Фильтр продавцов POSA"
"POSAwesome","POSAwesome"
"Paid Change","Сдача выплачена"
"Payment Entry is already created or payment account is not matched","Платеж уже создан или счет оплаты не совпадает"
"Payment Entry {0} has no unallocated amount remaining.","Платеж {0} не имеет нераспределенного остатка."
"Payment Gateway Account not found","Счет платежного шлюза не найден"
"Payment Request took too long to respond. Please try requesting for payment again","Запрос платежа занял слишком много времени. Пожалуйста, попробуйте запросить платеж снова"
"Payment name not found. Cannot open print view.","Имя платежа не найдено. Не удалось открыть окно печати."
"Payment of {0} received successfully.","Платеж на сумму {0} успешно получен."
"Payment request status could not be retrieved. Please try again","Не удалось получить статус запроса платежа. Пожалуйста, попробуйте еще раз"
"Payment saved offline","Платеж сохранен в автономном режиме"
"Payment submitted but print function could not be executed. Payment name not found.","Платеж отправлен, но функция печати не может быть выполнена. Имя платежа не найдено."
"Payment {0} is already fully allocated","Платеж {0} уже полностью распределен"
"Payments are not open. Do you want to open payments and submit?","Платежи не открыты. Вы хотите открыть платежи и отправить?"
"Payments by Mode of Payment","Платежи по способам оплаты"
"Pending Invoices","Ожидающие счета"
"Pending Sync","Ожидает синхронизации"
"Pending count updated from {0} to {1}","Кол-во ожидающих обновлено с {0} на {1}"
"Pending: {0}","Ожидает: {0}"
"Pending: {0} | Synced: {1} | Draft: {2}","Ожидает: {0} | Синхронизировано: {1} | Черновик: {2}"
"Please allow camera access to scan codes","Пожалуйста, разрешите доступ к камере для сканирования кодов"
"Please configure a POS Profile first","Пожалуйста, сначала настройте профиль POS"
"Please make a payment or select an payment","Пожалуйста, произведите оплату или выберите платеж"
"Please request phone payment or use another payment method","Пожалуйста, запросите оплату по телефону или используйте другой способ оплаты"
"Please select Coupon Code Based POS Offer.","Пожалуйста, выберите POS-предложение на основе кода купона."
"Please select a customer","Пожалуйста, выберите клиента"
"Please select a customer before reconciling.","Пожалуйста, выберите клиента перед сверкой."
"Please select a customer first","Пожалуйста, сначала выберите клиента"
"Please select an invoice","Пожалуйста, выберите счет"
"Please select the correct POS Offer with the same company.","Пожалуйста, выберите правильное POS-предложение для той же компании."
"Please set the customer's mobile number","Пожалуйста, установите номер мобильного телефона клиента"
"Please try again or enter the item manually.","Пожалуйста, попробуйте снова или введите товар вручную."
"Please verify the barcode or check the item's availability.","Пожалуйста, проверьте штрих-код или наличие товара."
"Please verify the barcode or search manually.","Пожалуйста, проверьте штрих-код или выполните поиск вручную."
"Posawesome","Posawesome"
"Position the QR code or barcode within the scanning area","Поместите QR-код или штрих-код в область сканирования"
"Prefix included in barcode","Префикс включен в штрих-код"
"Prefix length","Длина префикса"
"Previous unit of measure","Предыдущая единица измерения"
"Price Discount Scheme","Price Discount Scheme"
"Price List is required","Прайс-лист обязателен"
"Price decimals","Десятичные знаки цены"
"Price digits","Цифры цены"
"Price included in barcode","Цена включена в штрих-код"
"Price starting position","Начальная позиция цены"
"Pricing & Discounts","Цены и скидки"
"Primary Customer Offer","Основное предложение клиента"
"Print Draft","Печать черновика"
"Print Last Invoice","Печать последнего счета"
"Printed","Напечатано"
"Processed returns impacting the shift totals","Обработанные возвраты, влияющие на итоги смены"
"Processing Payment","Обработка платежа"
"Profile switching is not available yet","Переключение профилей еще не доступно"
"Profiles List","Список профилей"
"Promo Type","Тип промо"
"QTY","Кол-во"
"Qualified","Квалифицированный"
"Qualifying Transaction / Item","Квалификационная транзакция / товар"
"Quantity and Amount Conditions","Условия количества и суммы"
"Quantity exceeds available stock","Количество превышает доступный остаток"
"Quotation {0} is Submitted","Предложение {0} отправлено"
"Ready!","Готово!"
"Recent updates about your invoices","Последние обновления ваших счетов"
"Reconcile payment methods and close shift","Сверьте способы оплаты и закройте смену"
"Reconciling Payments","Сверка платежей"
"Redeem Credit","Погасить кредит"
"Redeemed Customer Credit","Погашенный кредит клиента"
"Referral Campaign","Реферальная кампания"
"Referral Code is required","Реферальный код обязателен"
"Referral Code {0} is disabled","Реферальный код {0} отключен"
"Referral Code {0} is not exists","Реферальный код {0} не существует"
"Referral Company","Реферальная компания"
"Referral Name","Имя реферала"
"Register Status","Статус регистрации"
"Reload Items","Перезагрузить товары"
"Reload Now","Перезагрузить сейчас"
"Remaining outstanding: {0} across {1} invoice(s).","Оставшаяся задолженность: {0} по {1} счетам."
"Remove Offer","Удалить предложение"
"Remove item","Удалить товар"
"Remove local data and refresh","Удалить локальные данные и обновить"
"Replace Cheapest Item","Заменить самый дешевый товар"
"Replace Same Item","Заменить тот же товар"
"Reprint previous transaction","Перепечатать предыдущую транзакцию"
"Request","Запрос"
"Required columns cannot be hidden","Обязательные колонки не могут быть скрыты"
"Reset item name","Сбросить название товара"
"Return Valid Until","Возврат возможен до"
"Return Valid Upto","Возврат возможен до"
"Return Validity Days","Дни действия возврата"
"Return count","Количество возвратов"
"Return items must have negative quantities","Возвращаемые товары должны иметь отрицательное количество"
"Return total must be negative","Итоговая сумма возврата должна быть отрицательной"
"Return window passed","Окно возврата истекло"
"Return without Invoice","Возврат без счета"
"Returns are only allowed until {0}","Возвраты разрешены только до {0}"
"Returns by Currency","Возвраты по валютам"
"Review shift totals before submitting the closing entry","Проверьте итоги смены перед отправкой записи о закрытии"
"Row ID","ID строки"
"Sales Invoice Reference","Ссылка на счет-фактуру"
"Sales Order {0} is Submitted","Заказ клиента {0} отправлен"
"Sales Person not found","Продавец не найден"
"Sales processed","Продажи обработаны"
"Save & Clear","Сохранить и очистить"
"Saved as draft because: {0}","Сохранено как черновик, потому что: {0}"
"Scale Barcode Settings","Настройки весовых штрих-кодов"
"Scan Error","Ошибка сканирования"
